probes,moduleColor,GS.PCD,p.GS.PCD,MEyellow,MEyellow
VAC14,yellow,0.03922717,0.423207095,0.32372556,1.11816E-11
SLC7A6,yellow,0.091553472,0.0611529,0.428143334,4.16696E-20
PLA2G15,yellow,0.138501151,0.004507407,0.445085418,8.87191E-22
COTL1,yellow,0.471982267,1.24178E-24,0.769497393,3.1573E-83
NUBP1,yellow,0.073147899,0.134958759,0.329097422,4.85544E-12
MEFV,yellow,0.329790671,4.35467E-12,0.469061323,2.60829E-24
IL21R,yellow,0.308251177,1.12898E-10,0.845007678,2.0166E-115
CSK,yellow,0.171855668,0.000409921,0.666794362,3.26783E-55
EHD4,yellow,0.234465455,1.21693E-06,0.28749706,2.04296E-09
RIPK2,yellow,0.121333688,0.012940306,0.325338909,8.71867E-12
NBN,yellow,0.278996121,6.26211E-09,0.414123265,8.58637E-19
IL7,yellow,0.299575424,3.896E-10,0.380157127,7.43927E-16
SNX16,yellow,0.124042913,0.011043111,0.361592962,2.18011E-14
MTMR9,yellow,0.339981262,8.51379E-13,0.405353851,5.30753E-18
LEPROTL1,yellow,0.366346204,9.37216E-15,0.440306525,2.68613E-21
ERICH1,yellow,0.075889901,0.120895878,0.32133065,1.61333E-11
BNIP3L,yellow,0.271441726,1.64201E-08,0.400573764,1.40077E-17
MAN2B1,yellow,0.302851161,2.45243E-10,0.529866568,1.05488E-31
MAP4K1,yellow,0.35287009,9.8994E-14,0.932772161,6.8288E-187
CD37,yellow,0.354548041,7.4262E-14,0.916263963,8.8831E-168
LYL1,yellow,0.370780757,4.2098E-15,0.744846026,2.77563E-75
FCER2,yellow,0.137253046,0.004886263,0.702357386,1.52583E-63
IL4I1,yellow,0.175550317,0.00030529,0.47758076,2.93461E-25
KIR3DX1,yellow,-0.052065602,0.287648751,0.283491096,3.47968E-09
LILRB1,yellow,0.475093003,5.5894E-25,0.787980676,7.26765E-90
LILRA1,yellow,0.531232612,6.90922E-32,0.586144427,5.08258E-40
IL27RA,yellow,0.283646601,3.40902E-09,0.580459168,4.17412E-39
RASAL3,yellow,0.398398913,2.16715E-17,0.923738449,6.7773E-176
EBI3,yellow,0.390745655,9.81311E-17,0.672268512,2.03078E-56
PRKD2,yellow,0.092174889,0.059409411,0.490129376,1.04879E-26
DENND3,yellow,0.460267306,2.33474E-23,0.673834716,9.07109E-57
CEACAM4,yellow,0.41728924,4.38978E-19,0.525374362,4.18483E-31
SIGLEC8,yellow,0.429230572,3.27591E-20,0.708538624,4.0517E-65
CD79A,yellow,0.167182295,0.000590096,0.76611671,4.43065E-82
NKG7,yellow,0.16488821,0.000703235,0.568045831,3.5986E-37
CD33,yellow,0.398775055,2.01006E-17,0.606439815,1.94817E-43
